Recency,Frequency,Price_Sum,Price_Mean,Spend_90,Spend_90_flag,Labels,KNN_Predict_Prob,SVC_Predict_Prob,AB_Predict_Prob,RF_Predict_Prob,DT_Predict_Prob,Price_Pre,Price_Pre2,AVSP,AVSP2
-234.0,2,0.0,0.0,0.0,0.0,3,0.5,0.2427668746988779,6.608564528719907e-12,0.1726727202446917,0.1101352927420672,0.0,0.0,0.0,0.0
-38.0,124,22.50693548387096,2790.859999999999,1519.1400000000006,1.0,1,0.875,0.8675596854605497,0.9998786374825076,0.8599962329797924,0.8620492566928135,1154.817633333333,1583.1730666666706,364.3223666666672,-64.03306666667004
-157.0,28,53.11571428571428,1487.24,310.0,1.0,2,0.75,0.7346065830582942,0.9994306578488266,0.6620226069292499,0.356068396459977,551.6842333333336,485.0044666666668,-241.6842333333336,-175.00446666666676
-219.0,17,19.67058823529412,334.40000000000003,0.0,0.0,3,0.125,0.3749517615489063,1.3633783688522702e-11,0.1726727202446917,0.1429763347459493,0.0,0.0,0.0,0.0
-171.0,48,12.524583333333338,601.1800000000002,944.23,1.0,1,0.625,0.522435300286275,0.9995935424949856,0.659728275237168,0.4699112567543719,470.8632666666668,846.0496666666656,473.3667333333331,98.18033333333426
-113.0,4,22.25,89.0,0.0,0.0,0,0.375,0.346248288763068,3.008198200592308e-06,0.438873311368576,0.5197404417551058,0.0,0.0,0.0,0.0
-141.0,58,18.610344827586207,1079.4,0.0,0.0,0,0.625,0.6864680460917562,6.757790236483396e-06,0.5647369782091769,0.682659064026354,0.0,0.0,0.0,0.0
-123.0,13,35.33846153846154,459.4,0.0,0.0,0,0.5,0.4852333436241055,8.413141352682322e-08,0.4194630363123185,0.5529562547303859,0.0,0.0,0.0,0.0
-154.0,57,48.29964912280703,2753.080000000001,58.35,1.0,1,0.875,0.8140450517987379,0.999709845766753,0.7473575872789014,0.6394714314255178,1185.3476666666666,660.8077333333345,-1126.9976666666666,-602.4577333333344
-59.0,12,40.405,484.86,683.2,1.0,1,0.625,0.540509763182452,0.9996052005812448,0.6572389505819141,0.4934062539709136,466.0875333333335,563.063333333332,217.1124666666666,120.13666666666802
-98.0,145,23.86158620689656,3459.930000000001,2785.6,1.0,1,0.75,0.8337334341297837,0.9998557382994154,0.8358081031488348,0.874705257364464,1425.3916000000002,2334.9619999999986,1360.2083999999998,450.6380000000013
-21.0,75,21.577066666666656,1618.2799999999993,1043.7799999999995,1.0,2,0.875,0.833121992509169,0.9971702509216592,0.8481219234493929,0.6403504183180388,441.8073000000001,749.7023333333324,601.9726999999996,294.07766666666737
-196.0,10,18.99,189.9,0.0,0.0,3,0.75,0.3348244153604868,7.806681267680475e-12,0.1726727202446917,0.1425856843511664,0.0,0.0,0.0,0.0
-21.0,110,15.677727272727276,1724.5500000000004,3430.030000000001,1.0,1,0.875,0.8480409860352413,0.9998786374825076,0.8590455189281504,0.8175403128517641,915.8776000000004,2453.1478666666703,2514.152400000001,976.8821333333308
-18.0,23,24.0,552.0,0.0,0.0,2,0.625,0.6057908306657922,0.7432764345246308,0.6581944569203224,0.4445240231527764,45.24716666666667,25.197400000000005,-45.24716666666667,-25.197400000000005
-21.0,34,18.350588235294115,623.92,689.1799999999998,1.0,1,0.625,0.635496082193309,0.9997402465274936,0.6961367122422283,0.6050667936520642,473.4165000000002,718.6316333333317,215.7634999999996,-29.45163333333187
-200.0,23,13.94304347826087,320.69,0.0,0.0,3,0.0,0.3864312421759,1.3633783688522702e-11,0.1726727202446917,0.1623795743583518,0.0,0.0,0.0,0.0
-183.0,139,20.18999999999999,2806.4099999999985,739.28,1.0,2,0.875,0.8195115329821481,0.9996510975623236,0.7711735572500278,0.6898675628914741,809.0698666666672,1072.0437999999997,-69.7898666666672,-332.7637999999997
-121.0,39,23.459487179487176,914.9199999999998,383.12,1.0,2,0.75,0.6515065033888164,0.9987602846364312,0.708018171437299,0.3921171233046623,368.8389333333334,473.8175333333338,14.281066666666618,-90.69753333333388
-220.0,14,26.042857142857144,364.6,0.0,0.0,3,0.25,0.3823943307200475,1.3666946602043852e-11,0.1726727202446917,0.1390885457068091,0.0,0.0,0.0,0.0
-7.0,11,20.93636363636364,230.30000000000004,225.12,1.0,1,0.5,0.4823610524700134,0.9826633007577048,0.6595502839622945,0.5374452281978083,308.06259999999986,243.70133333333345,-82.94259999999986,-18.58133333333342
-224.0,77,21.14441558441558,1628.1199999999997,0.0,0.0,3,0.75,0.7359220643147535,1.2295281682965967e-11,0.316978812883545,0.2969903057663561,0.0,0.0,0.0,0.0
-38.0,219,18.304200913242013,4008.620000000001,0.0,0.0,4,0.875,0.8375971049921426,2.1846746876795847e-12,0.357840722548929,0.8254819591059788,19.07806666666667,0.0,-19.07806666666667,0.0
-64.0,21,21.80428571428571,457.88999999999993,392.4,1.0,2,0.875,0.5362282454316927,0.9923271525038682,0.6520087372095433,0.3827030864068974,284.92363333333344,325.12406666666703,107.4763666666666,67.275933333333
-94.0,36,16.87638888888889,607.5500000000001,2113.01,1.0,1,0.75,0.57644609000347,0.999734101234612,0.693549566631841,0.5269530763251449,475.82956666666695,1444.0012666666678,1637.1804333333328,669.008733333332
